id,marca,modelo,tipo_computador,procesador_marca,procesador_modelo,generacion_cpu,nucleos_cpu,hilos_cpu,frecuencia_base_ghz,frecuencia_max_ghz,ram_gb,tipo_ram,velocidad_ram_mhz,almacenamiento_gb,tipo_almacenamiento,almacenamiento_secundario_gb,gpu_marca,gpu_modelo,tipo_gpu,vram_gb,tamano_pantalla,resolucion_ancho,resolucion_alto,tipo_panel,tasa_refresco_hz,pantalla_tactil,bateria_wh,peso_kg,ancho_cm,profundidad_cm,grosor_cm,wifi,bluetooth,puertos_usb,puerto_hdmi,puerto_ethernet,sistema_operativo,version_so,garantia_meses,precio,precio_anterior,descuento_porcentaje,precio_usd
1078,HP,HP 3276,Notebook,AMD,Ryzen 5,13,8.0,12,2.44,4.56,16,DDR4,2666,256,SSD+HDD,1000,AMD,Radeon Graphics,Integrada,0,17.3,1366,768,TN,60,0,41.5,2.06,39.7,26.7,1.62,WiFi 7,5.0,4,2,1,Windows 11,Pro,12,4340736,5106748,15.0,1085.18
1079,Acer,Acer 4031,Ultrabook,AMD,Ryzen 7,14,8.0,16,2.5,4.95,32,LPDDR4X,3733,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2560,1600,OLED,60,0,70.0,1.4,31.0,22.1,1.96,WiFi 7,5.2,3,1,1,,Home,24,5340871,5340871,0.0,1335.22
1080,Xiaomi,Xiaomi 4685,Gaming,AMD,Ryzen 9,14,12.0,20,2.54,4.74,16,DDR5,4800,1024,SSD+HDD,1000,NVIDIA,RTX A1000,Dedicada,6,15.6,1920,1080,VA,300,0,83.3,2.16,35.8,23.0,1.93,WiFi 6E,5.0,3,2,0,Windows 11,Pro,12,10879655,10879655,0.0,2719.91
1081,Asus,Asus 9296,Workstation,AMD,Ryzen 9,12,12.0,20,2.25,5.09,32,DDR5,5600,1024,SSD,0,NVIDIA,RTX 3050,Dedicada,4,17.3,3840,2400,,120,0,83.5,2.05,39.3,27.3,1.46,WiFi 6,4.2,3,2,1,Windows 11,Home,6,9976915,11085461,10.0,2494.23
1082,HP,HP 2527,2 en 1,Intel,Core i5,11,5.0,13,2.32,4.62,8,DDR4,3200,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,1920,1080,IPS,60,1,56.6,1.18,30.2,21.5,1.84,WiFi 6E,5.0,3,2,1,Windows 11,Home,12,3492233,3492233,0.0,873.06
1083,HP,HP 6611,Profesional,AMD,Ryzen 5,14,8.0,12,2.61,4.32,16,DDR5,5600,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,2560,1600,OLED,60,1,56.3,1.59,35.5,23.3,1.79,WiFi 7,5.3,3,1,0,Windows 11,Pro,12,5833587,5833587,0.0,1458.4
1084,Samsung,Samsung 2079,Notebook,AMD,Ryzen 3,12,5.0,10,2.81,3.83,8,DDR5,5200,256,SSD+HDD,1000,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,TN,60,0,42.0,1.47,35.6,22.8,1.83,WiFi 5,5.2,3,2,1,Windows 11,Home,12,3945212,4383569,10.0,986.3
1085,Acer,Acer 3935,Ultrabook,Intel,Core i5,14,6.0,12,2.37,4.54,16,DDR4,2933,512,SSD + HDD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,51.0,1.02,31.2,22.1,1.89,WiFi 5,5.0,3,2,0,Windows 11,Home,24,4333676,4333676,0.0,1083.42
1086,Samsung,Samsung 5756,Gaming,Intel,Core i7,12,8.0,16,2.11,5.0,16,DDR5,4800,2048,SSD,1000,AMD,RX 7600M,Dedicada,8,15.6,2560,1600,OLED,165,0,92.1,2.38,35.7,23.1,1.73,WiFi 6,4.2,3,1,1,Windows 11,Pro,24,11324649,11920683,5.0,2831.16
1087,Asus,Asus 5016,Workstation,AMD,Ryzen 9,12,12.0,20,2.1,5.0,64,DDR4,3200,2048,SSD,0,NVIDIA,RTX 4080,Dedicada,12,15.6,1920,1080,IPS,60,0,84.7,1.66,35.9,23.0,1.76,WiFi 6E,5.3,3,1,0,Windows 11,Pro,6,17798683,22248354,20.0,4449.67
1088,Acer,Acer 9036,2 en 1,AMD,Ryzen 7,11,8.0,16,2.42,4.87,8,DDR4,2666,256,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2560,1600,IPS,120,1,46.5,1.54,31.4,21.8,1.46,WiFi 5,5.0,3,1,1,Windows 11,Pro,12,4682266,5202518,10.0,1170.57
1089,LG,LG 6493,Profesional,AMD,Ryzen 5,13,8.0,14,2.62,4.27,16,DDR5,4800,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2560,1600,OLED,120,1,51.5,1.06,31.5,22.6,1.66,WiFi 6,4.2,3,1,1,Windows 11,Pro,6,5621351,5621351,0.0,1405.34
1090,Samsung,Samsung 7436,Notebook,Intel,Core i3,10,4.0,8,3.14,4.18,8,DDR4,2933,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,39.4,1.25,31.4,21.8,1.93,WiFi 6,5.1,3,1,0,Windows 11,Pro,12,2758304,2758304,0.0,689.58
1091,Apple,Apple 9724,Ultrabook,Apple,M2,2,8.0,8,2.3,3.63,32,LPDDR5,5600,512,SSD,0,Apple,GPU Apple,Integrada,0,15.6,1920,1080,OLED,120,1,50.4,1.44,35.5,23.4,1.49,WiFi 6E,5.1,2,2,1,macOS,Ventura,12,7693977,9617471,20.0,1923.49
1092,HP,HP 4735,Gaming,AMD,Ryzen 9,13,12.0,20,2.31,5.04,16,DDR4,3200,512,SSD,1000,NVIDIA,RTX A1000,Dedicada,6,17.3,2560,1600,VA,144,0,78.3,2.65,39.3,26.9,1.85,WiFi 6E,5.3,3,1,1,Windows 11,Home,24,9587284,10091878,5.0,2396.82
1093,Acer,Acer 5874,Workstation,Intel,Core i9,13,16.0,24,2.07,5.42,64,DDR4,2666,1024,SSD,0,NVIDIA,RTX 4080,Dedicada,12,17.3,3840,2400,IPS,60,0,63.9,2.03,39.3,27.3,1.61,WiFi 5,5.2,2,1,1,Windows 11,Home,12,14791101,16077284,8.0,3697.78
1094,Samsung,Samsung 8044,2 en 1,AMD,Ryzen 3,12,4.0,8,2.85,4.23,8,DDR5,5200,256,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,1920,1080,IPS,60,1,55.7,1.15,30.5,21.3,1.69,WiFi 6,4.2,2,1,1,Windows 11,Pro,12,3222337,3222337,0.0,805.58
1095,Apple,Apple 5611,Profesional,Apple,M3,3,8.0,8,2.57,4.27,32,LPDDR5,6400,512,SSD,0,Apple,GPU Apple,Integrada,0,16.0,2560,1600,OLED,60,0,52.0,1.87,36.6,24.2,1.64,WiFi 6E,5.1,3,1,1,FreeDOS,,6,7881084,8566396,8.0,1970.27
1096,Dell,Dell 3040,Notebook,Intel,Core i5,11,5.0,12,2.47,4.54,16,LPDDR4X,4266,256,SSD+HDD,1000,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,1,48.3,1.34,31.2,21.7,1.6,WiFi 5,5.0,2,1,1,Windows 11,Pro,12,4645144,5049070,8.0,1161.29
1097,Asus,Asus 5980,Ultrabook,Intel,Core i7,12,,16,2.49,4.95,16,DDR5,5600,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,IPS,90,0,69.3,1.46,35.9,23.7,1.66,WiFi 5,5.1,3,1,0,Windows 11,Pro,12,4353577,4353577,0.0,1088.39
1098,Dell,Dell 8419,Gaming,Intel,Core i5,14,6.0,12,2.34,4.41,16,DDR5,5200,1024,SSD+HDD,1000,NVIDIA,RTX 3050,Dedicada,6,17.3,1920,1080,VA,165,0,54.5,2.8,39.6,27.1,1.45,WiFi 5,5.3,3,1,0,,Home,12,9686994,9686994,0.0,2421.75
1099,LG,LG 4908,Workstation,Intel,Core i7,13,8.0,16,2.21,5.02,64,DDR5,5200,1024,SSD,0,NVIDIA,RTX 4050,Dedicada,6,15.6,2560,1600,IPS,60,0,78.0,1.69,35.8,23.4,1.92,WiFi 5,5.3,3,1,1,Windows 11,Home,12,11502287,11502287,0.0,2875.57
1100,Dell,Dell 4534,2 en 1,AMD,Ryzen 5,11,9.0,14,2.57,4.51,16,DDR4,3200,256,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,1920,1080,OLED,60,1,46.0,1.01,30.3,21.3,1.82,WiFi 5,5.1,3,2,1,Windows 11,Pro,6,4355630,5444538,20.0,1088.91
1101,Dell,Dell 2278,Profesional,Intel,Core i5,14,6.0,12,2.42,4.73,32,DDR5,5600,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,72.5,1.43,31.3,22.8,1.78,WiFi 6E,5.3,3,1,1,Windows 11,Home,12,5384311,5384311,0.0,1346.08
1102,Xiaomi,Xiaomi 2085,Notebook,Intel,Core i3,11,4.0,8,3.17,4.19,8,DDR4,3200,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,1366,768,TN,60,0,38.9,1.73,35.4,23.3,1.44,WiFi 5,5.0,3,1,1,Windows 11,Pro,12,2954458,2954458,0.0,738.61
1103,Acer,Acer 7346,Ultrabook,AMD,Ryzen 7,11,9.0,18,2.45,4.99,32,DDR4,2666,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,2560,1600,OLED,120,1,60.0,1.09,31.4,20.9,2.03,WiFi 5,5.1,3,1,1,Windows 11,Home,6,6245442,6788524,8.0,1561.36
1104,MSI,MSI 4492,Gaming,Intel,Core i5,12,6.0,12,2.32,4.52,16,DDR5,5600,2048,SSD+HDD,1000,NVIDIA,RTX A1000,Dedicada,6,15.6,2560,1600,VA,144,0,69.5,2.09,36.4,23.2,1.57,WiFi 6,5.1,3,1,1,Windows 11,Home,6,10573459,11129957,5.0,2643.36
1105,Samsung,Samsung 8823,Workstation,AMD,Ryzen 9,12,12.0,20,2.31,4.88,32,DDR4,2933,1024,SSD,0,NVIDIA,RTX 4060,Dedicada,8,17.3,3840,2400,IPS,144,0,62.2,2.31,39.3,27.5,1.88,WiFi 5,5.1,3,1,0,Windows 11,Pro,12,11419992,13435285,15.0,2855.0
1106,Samsung,Samsung 2746,2 en 1,Intel,Core i7,12,8.0,16,2.12,4.69,16,DDR5,4800,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,1920,1080,IPS,120,1,55.2,1.47,35.8,23.2,1.51,WiFi 6,5.0,3,1,1,Windows 11,Pro,6,5028707,5028707,0.0,1257.18
1107,Apple,Apple 6382,Profesional,Apple,M3,3,8.0,8,2.76,3.64,32,LPDDR5,5600,1024,SSD,0,Apple,GPU Apple,Integrada,0,14.0,1920,1080,OLED,60,0,63.0,1.34,31.2,22.4,2.0,WiFi 5,5.0,4,1,0,macOS,Ventura,12,7816138,8227514,5.0,1954.03
1108,Lenovo,Lenovo 2396,Notebook,AMD,Ryzen 5,11,8.0,14,2.71,4.54,8,DDR4,2666,256,SSD,0,AMD,Radeon Graphics,Integrada,0,17.3,1920,1080,IPS,60,1,37.5,2.24,39.6,26.8,1.57,WiFi 6,5.1,3,1,0,Windows 11,Home,12,4081164,4436048,8.0,1020.29
1109,Samsung,Samsung 7614,Ultrabook,AMD,Ryzen 5,12,8.0,12,2.56,4.56,8,DDR5,5600,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,2560,1600,IPS,60,0,51.9,1.56,31.6,22.4,1.62,WiFi 7,5.3,3,2,0,FreeDOS,,24,3552595,3552595,0.0,888.15
1110,Dell,Dell 4285,Gaming,Intel,Core i7,14,8.0,16,2.25,4.57,16,DDR4,2933,512,SSD+HDD,1000,NVIDIA,RTX 3050,Dedicada,4,17.3,1920,1080,IPS,165,0,66.9,2.7,39.7,27.3,1.49,WiFi 7,5.0,3,1,1,Windows 11,Home,12,8966046,11207558,20.0,2241.51
1111,MSI,MSI 9920,Workstation,Intel,Core i7,13,8.0,16,2.18,4.8,32,DDR4,2666,1024,SSD,0,NVIDIA,RTX 3050,Dedicada,6,15.6,2560,1600,IPS,60,0,63.9,1.89,35.7,24.0,1.43,WiFi 5,5.3,3,1,1,FreeDOS,,12,10863051,10863051,0.0,2715.76
1112,HP,HP 3130,2 en 1,AMD,Ryzen 3,12,4.0,8,2.76,4.07,16,LPDDR4X,4266,256,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,OLED,60,1,54.8,1.99,35.8,23.1,1.59,WiFi 5,5.3,4,1,1,Windows 11,Home,12,4444826,4678764,5.0,1111.21
1113,Apple,Apple 1532,Profesional,Apple,M3,3,9.0,9,2.77,4.17,16,LPDDR5,6400,1024,SSD,0,Apple,GPU Apple,Integrada,0,16.0,1920,1080,IPS,120,1,,1.78,36.0,24.2,1.74,WiFi 6E,5.1,3,2,1,macOS,Ventura,24,7708338,8564820,10.0,1927.08
1114,Samsung,Samsung 3458,Notebook,AMD,Ryzen 3,13,,8,2.76,3.84,8,DDR5,4800,1000,HDD,0,AMD,Radeon Graphics,Integrada,0,17.3,1920,1080,IPS,60,0,42.3,2.26,39.3,27.4,1.7,WiFi 6,5.0,4,2,1,Windows 11,Pro,12,3180651,3180651,0.0,795.16
1115,Samsung,Samsung 9496,Ultrabook,AMD,Ryzen 7,12,8.0,16,2.4,5.17,8,DDR5,4800,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,2880,1800,IPS,90,1,61.2,1.37,35.5,23.2,1.89,WiFi 6E,5.0,3,1,0,Windows 11,Pro,6,5515790,6894738,20.0,1378.95
1116,Lenovo,Lenovo 7146,Gaming,AMD,Ryzen 9,12,12.0,20,2.38,5.12,16,DDR5,5600,2048,SSD+HDD,1000,NVIDIA,RTX A2000,Dedicada,8,16.0,1920,1080,OLED,240,0,74.4,2.36,35.9,24.7,1.9,WiFi 7,5.3,3,1,0,Windows 11,Pro,24,11667213,12963570,10.0,2916.8
1117,Dell,Dell 4312,Workstation,AMD,Ryzen 7,14,8.0,16,2.4,4.83,32,DDR4,2933,2048,SSD,0,AMD,RX 7600M,Dedicada,8,16.0,3840,2400,IPS,60,0,65.6,1.56,35.2,23.7,1.52,WiFi 6,4.2,2,2,1,Windows 11,Pro,12,11843851,13933942,15.0,2960.96
1118,HP,HP 3248,2 en 1,Intel,Core i7,13,8.0,16,2.22,4.9,16,DDR4,2933,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,OLED,60,1,50.8,1.39,31.1,22.6,1.79,WiFi 6E,5.0,2,2,1,Windows 11,Home,12,5182211,6096719,15.0,1295.55
1119,LG,LG 6434,Profesional,Intel,Core i5,13,6.0,12,2.37,4.51,16,DDR5,5200,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,1,62.8,1.4,31.0,22.4,1.46,WiFi 7,5.3,2,2,1,Windows 11,Pro,12,5189287,5765874,10.0,1297.32
1120,Lenovo,Lenovo 4008,Notebook,AMD,Ryzen 3,11,4.0,8,2.75,4.37,8,DDR4,2666,2000,HDD,0,AMD,Radeon Graphics,Integrada,0,15.6,1920,1080,IPS,60,0,35.8,1.8,35.6,23.6,1.47,WiFi 6,4.2,4,1,0,FreeDOS,,6,3701431,4626789,20.0,925.36
1121,Asus,Asus 3092,Ultrabook,Intel,Core i5,14,6.0,12,2.45,4.35,32,DDR5,5600,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,1920,1080,OLED,120,0,64.8,1.78,35.9,23.2,1.93,WiFi 5,5.1,3,1,1,Windows 11,Home,6,6009366,7069842,15.0,1502.34
1122,Xiaomi,Xiaomi 9939,Gaming,Intel,Core i7,14,8.0,16,2.35,4.93,64,DDR4,2666,512,SSD,0,NVIDIA,RTX A1000,Dedicada,6,15.6,1920,1080,OLED,165,0,90.0,2.56,35.8,23.0,1.94,WiFi 7,5.1,2,1,1,Windows 11,Home,6,11732978,12350503,5.0,2933.24
1123,Acer,Acer 9936,Workstation,Intel,Core i7,13,8.0,16,2.25,5.01,32,DDR5,5200,2048,SSD,0,NVIDIA,RTX 4060,Dedicada,8,15.6,1920,1080,IPS,144,0,70.6,1.79,36.0,23.0,1.72,WiFi 5,5.3,4,1,1,Windows 11,Pro,12,11552152,11552152,0.0,2888.04
1124,Samsung,Samsung 6527,2 en 1,Intel,Core i7,11,8.0,16,2.14,4.84,8,DDR4,2933,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,2560,1600,IPS,120,1,53.0,1.57,31.7,22.0,1.68,WiFi 5,5.0,4,1,1,Windows 11,Home,6,7582311,7981380,5.0,1895.58
1125,Acer,Acer 4431,Profesional,AMD,Ryzen 5,12,8.0,12,2.6,4.67,32,DDR5,5600,1024,SSD,0,AMD,Radeon Graphics,Integrada,0,16.0,2560,1600,IPS,60,0,67.3,1.77,36.3,24.5,1.71,WiFi 7,5.0,2,1,1,Windows 11,Home,12,5299578,5578503,5.0,1324.89
1126,Xiaomi,Xiaomi 1267,Notebook,Intel,Core i5,10,6.0,12,2.32,4.6,8,DDR4,2666,512,SSD,1000,Intel,Iris Xe Graphics,Integrada,0,17.3,1920,1080,TN,60,0,45.4,2.34,39.5,26.9,1.73,WiFi 5,4.2,3,1,1,Windows 11,Home,6,3459568,3459568,0.0,864.89
1127,Apple,Apple 5994,Ultrabook,Apple,M2,2,8.0,8,2.54,3.43,16,LPDDR5,5600,512,SSD,0,Apple,GPU Apple,Integrada,0,14.0,2560,1600,OLED,120,1,69.9,1.1,30.8,21.8,1.55,WiFi 5,4.2,2,1,1,FreeDOS,,24,7005507,7005507,0.0,1751.38
1128,Acer,Acer 4651,Gaming,AMD,Ryzen 5,14,,12,2.74,4.64,16,DDR5,4800,1024,SSD+HDD,1000,AMD,RX 7600M,Dedicada,8,17.3,2560,1600,IPS,165,0,71.4,2.66,39.8,27.0,1.46,WiFi 7,4.2,4,1,0,Windows 11,Pro,6,10498537,10498537,0.0,2624.63
1129,Acer,Acer 6903,Workstation,AMD,Ryzen 9,14,12.0,20,2.31,5.02,32,DDR4,2933,1024,SSD,0,NVIDIA,RTX 3050,Dedicada,4,16.0,1920,1080,IPS,60,0,91.4,1.87,36.2,24.5,1.76,WiFi 6,4.2,3,2,0,Windows 11,Pro,12,9331546,10978289,15.0,2332.89
1130,Acer,Acer 8651,2 en 1,AMD,Ryzen 3,11,5.0,8,2.71,4.16,8,DDR4,2666,256,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,1920,1080,OLED,120,1,60.5,1.17,30.2,21.4,2.02,WiFi 6E,4.2,3,1,0,Windows 11,Pro,6,3793334,4214816,10.0,948.33
1131,Asus,Asus 3292,Profesional,Intel,Core i7,14,8.0,16,2.26,4.95,32,DDR5,4800,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,IPS,60,0,73.9,1.32,31.6,22.4,1.55,WiFi 5,5.2,3,1,1,Windows 11,Home,12,6160543,6160543,0.0,1540.14
1132,Samsung,Samsung 4426,Notebook,Intel,Core i5,12,7.0,14,2.3,4.83,16,DDR5,5600,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,TN,60,0,,1.53,31.8,22.3,1.72,WiFi 6,5.2,4,1,1,Windows 11,Home,12,3431412,3431412,0.0,857.85
1133,Samsung,Samsung 5727,Ultrabook,AMD,Ryzen 5,11,8.0,12,2.66,4.4,32,DDR4,2933,512,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,2880,1800,OLED,60,1,74.9,1.18,30.2,21.3,1.66,WiFi 6,5.0,3,2,1,Windows 11,Home,12,5313686,5904096,10.0,1328.42
1134,Asus,Asus 5935,Gaming,Intel,Core i9,14,16.0,24,1.95,5.44,16,DDR5,4800,2048,SSD,0,NVIDIA,RTX 3050,Dedicada,4,17.3,2560,1600,OLED,165,0,72.6,2.55,39.0,27.0,1.5,WiFi 5,5.1,2,1,0,Windows 11,Home,6,10069747,10945377,8.0,2517.44
1135,LG,LG 9710,Workstation,Intel,Core i9,13,15.0,24,2.16,5.51,32,DDR4,2933,2048,SSD,0,AMD,RX 7600M,Dedicada,8,16.0,2560,1600,IPS,144,0,72.8,1.88,36.1,24.7,1.74,WiFi 5,5.1,4,1,0,Windows 11,Pro,24,12381153,13032793,5.0,3095.29
1136,MSI,MSI 5274,2 en 1,Intel,Core i7,12,9.0,17,2.09,4.71,16,DDR5,4800,256,SSD,0,Intel,Iris Xe Graphics,Integrada,0,13.3,1920,1080,OLED,60,1,44.2,1.48,30.9,21.6,1.89,WiFi 7,4.2,2,1,1,Windows 11,Home,12,5124316,5693684,10.0,1281.08
1137,MSI,MSI 6845,Profesional,Intel,Core i7,12,8.0,16,2.23,4.98,32,DDR5,5600,1024,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,2560,1600,IPS,120,0,69.9,1.47,35.0,23.0,1.95,WiFi 7,4.2,3,1,1,Windows 11,Pro,12,7092611,8344248,15.0,1773.15
1138,HP,HP 2798,Notebook,AMD,Ryzen 5,10,8.0,12,2.6,4.67,16,DDR4,2666,1000,HDD,0,AMD,Radeon Graphics,Integrada,0,14.0,1366,768,IPS,60,1,40.2,1.53,31.0,21.8,1.51,WiFi 6E,5.0,3,1,1,Windows 11,Home,24,3917355,3917355,0.0,979.34
1139,LG,LG 2261,Ultrabook,AMD,Ryzen 7,13,8.0,16,2.48,4.94,8,DDR5,5200,512,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,2560,1600,OLED,60,1,54.4,2.04,35.8,23.7,1.74,WiFi 6,4.2,4,1,1,Windows 11,Home,12,4404176,5181384,15.0,1101.04
1140,Lenovo,Lenovo 3507,Gaming,Intel,Core i7,13,8.0,16,2.27,5.08,16,DDR4,3200,512,SSD+HDD,1000,NVIDIA,RTX 4050,Dedicada,6,16.0,2560,1600,VA,165,0,58.4,2.64,36.3,24.3,1.72,WiFi 6E,5.2,4,1,0,Windows 11,Home,24,9871012,10729361,8.0,2467.75
1141,Lenovo,Lenovo 2159,Workstation,Intel,Core i7,13,8.0,16,2.4,4.9,32,DDR5,5200,2048,SSD,0,NVIDIA,RTX 4080,Dedicada,12,16.0,2560,1600,IPS,60,0,79.5,2.15,36.0,24.4,1.54,WiFi 6E,5.0,3,2,1,Windows 11,Home,12,13298576,13298576,0.0,3324.64
1142,Dell,Dell 2779,2 en 1,AMD,Ryzen 5,11,8.0,12,2.76,4.53,16,DDR4,2666,512,SSD,0,AMD,Radeon Graphics,Integrada,0,15.6,2560,1600,IPS,60,1,58.6,2.12,35.4,23.0,1.92,WiFi 6,4.2,4,1,0,Windows 11,Pro,24,4789796,5206300,8.0,1197.45
1143,Dell,Dell 6478,Profesional,Intel,Core i5,13,6.0,12,2.37,4.71,16,DDR4,2666,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,OLED,60,0,72.3,1.58,32.0,22.3,1.46,WiFi 5,5.1,3,1,1,Windows 11,Home,24,3902843,3902843,0.0,975.71
1144,HP,HP 1487,Notebook,Intel,Core i3,10,4.0,8,3.13,4.29,8,LPDDR4X,4266,256,SSD,1000,Intel,Iris Xe Graphics,Integrada,0,14.0,1366,768,IPS,60,0,37.4,1.62,31.3,21.3,2.01,WiFi 5,4.2,3,1,1,Windows 11,Home,24,2831852,3539815,20.0,707.96
1145,Apple,Apple 2459,Ultrabook,Apple,M2,2,8.0,8,2.45,3.63,16,LPDDR5,5600,1024,SSD,0,Apple,GPU Apple,Integrada,0,14.0,2560,1600,IPS,60,1,61.6,1.34,31.2,22.0,1.86,WiFi 6,5.0,2,1,1,macOS,Ventura,12,7086886,7874318,10.0,1771.72
1146,Acer,Acer 1572,Gaming,AMD,Ryzen 7,12,7.0,16,2.49,4.93,32,DDR5,5200,2048,SSD+HDD,1000,NVIDIA,RTX 4070,Dedicada,8,15.6,1920,1080,IPS,300,0,58.1,2.7,35.6,23.4,1.83,WiFi 5,4.2,4,1,1,Windows 11,Home,12,13016945,13016945,0.0,3254.24
1147,Samsung,Samsung 1698,Workstation,Intel,Core i7,12,8.0,16,2.13,5.04,64,DDR5,5200,1024,SSD,0,NVIDIA,RTX 4060,Dedicada,8,15.6,2560,1600,,60,0,63.4,1.75,36.1,22.8,1.59,WiFi 7,5.3,3,1,1,Windows 11,Pro,24,12392047,12392047,0.0,3098.01
1148,Lenovo,Lenovo 9916,2 en 1,AMD,Ryzen 3,11,5.0,9,2.96,4.32,8,LPDDR4X,4266,512,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,2560,1600,OLED,120,1,44.2,1.39,30.0,21.3,1.98,WiFi 5,5.0,3,2,1,Windows 11,Home,24,4093131,4093131,0.0,1023.28
1149,HP,HP 1770,Profesional,Intel,Core i5,12,6.0,12,2.34,4.52,16,DDR5,4800,512,SSD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,1920,1080,OLED,60,0,72.9,1.75,35.8,23.2,1.45,WiFi 6E,5.2,3,2,1,Windows 11,Pro,12,4213883,5267354,20.0,1053.47
1150,LG,LG 3656,Notebook,Intel,Core i3,10,4.0,8,3.04,4.18,8,LPDDR4X,4266,512,SSD+HDD,2000,Intel,Iris Xe Graphics,Integrada,0,14.0,1920,1080,TN,60,0,47.7,1.42,31.1,22.1,1.64,WiFi 5,5.1,3,1,0,Windows 11,Home,24,4078810,4532011,10.0,1019.7
1151,Dell,Dell 8913,Ultrabook,AMD,Ryzen 7,11,8.0,16,2.48,4.64,16,DDR4,2933,512,SSD,0,AMD,Radeon Graphics,Integrada,0,13.3,1920,1080,IPS,120,0,,1.04,30.6,21.3,2.0,WiFi 5,5.1,3,1,0,Windows 11,Pro,12,4893933,5437703,10.0,1223.48
1152,Acer,Acer 9636,Gaming,AMD,Ryzen 5,13,8.0,12,2.47,4.47,16,DDR5,4800,2048,SSD,0,NVIDIA,RTX 3050,Dedicada,6,17.3,1920,1080,IPS,165,0,65.9,2.57,39.0,26.9,1.39,WiFi 5,4.2,2,1,0,Windows 11,Pro,12,9651891,12064864,20.0,2412.97
1153,Samsung,Samsung 6580,Workstation,AMD,Ryzen 7,13,8.0,16,2.52,5.24,64,DDR5,5200,2048,SSD,0,NVIDIA,RTX 3050,Dedicada,4,15.6,1920,1080,IPS,144,0,67.5,1.89,35.6,23.2,1.56,WiFi 7,5.2,2,1,0,Windows 11,Pro,6,11906045,12941353,8.0,2976.51
1154,Dell,Dell 9431,2 en 1,AMD,Ryzen 5,12,8.0,12,2.65,4.66,8,DDR5,5600,512,SSD,0,AMD,Radeon Graphics,Integrada,0,14.0,1920,1080,IPS,60,1,44.4,1.12,30.9,22.0,2.03,WiFi 7,5.3,2,1,0,Windows 11,Home,12,4290138,5047221,15.0,1072.53
1155,Dell,Dell 1235,Profesional,AMD,Ryzen 5,13,8.0,12,2.54,4.75,16,DDR5,4800,512,SSD,0,AMD,Radeon Graphics,Integrada,0,16.0,1920,1080,IPS,60,1,58.7,1.95,35.9,24.1,1.72,WiFi 6,4.2,4,2,1,Windows 11,Pro,12,4819704,5355227,10.0,1204.93
1156,Asus,Asus 5458,Notebook,Intel,Core i3,11,4.0,8,3.02,4.24,8,LPDDR4X,3733,1000,HDD,0,Intel,Iris Xe Graphics,Integrada,0,15.6,1920,1080,IPS,60,0,45.6,1.9,35.7,22.9,1.85,WiFi 5,4.2,3,2,0,Windows 11,Home,6,3422884,3422884,0.0,855.72
1157,Apple,Apple 1108,Ultrabook,Apple,M2,2,8.0,8,2.39,3.43,16,LPDDR5,5600,1024,SSD,0,Apple,GPU Apple,Integrada,0,15.6,1920,1080,IPS,60,0,64.3,1.52,35.2,23.4,1.59,WiFi 6,5.0,2,1,1,macOS,Ventura,12,7045297,7045297,0.0,1761.32
